transaction_id,triggered_rules,is_fraud_transaction,risk_score,risk_category
TX-000001,,False,0.0,LOW
TX-000002,,False,0.0,LOW
TX-000003,,False,0.0,LOW
TX-000004,,False,0.0,LOW
TX-000005,,False,0.0,LOW
TX-000006,,False,0.0,LOW
TX-000007,R21,True,40.0,MEDIUM
TX-000008,R21,True,40.0,MEDIUM
TX-000009,,False,0.0,LOW
TX-000010,,False,0.0,LOW
TX-000011,,False,0.0,LOW
TX-000012,R21,True,40.0,MEDIUM
TX-000013,,False,0.0,LOW
TX-000014,,False,0.0,LOW
TX-000015,,False,0.0,LOW
TX-000016,,False,0.0,LOW
TX-000017,,False,0.0,LOW
TX-000018,,False,0.0,LOW
TX-000019,,False,0.0,LOW
TX-000020,R21,True,40.0,MEDIUM
TX-000021,R21,True,40.0,MEDIUM
TX-000022,,False,0.0,LOW
TX-000023,,False,0.0,LOW
TX-000024,,False,0.0,LOW
TX-000025,,False,0.0,LOW
TX-000026,,False,0.0,LOW
TX-000027,,False,0.0,LOW
TX-000028,,False,0.0,LOW
TX-000029,,False,0.0,LOW
TX-000030,R21,True,40.0,MEDIUM
TX-000031,,False,0.0,LOW
TX-000032,,False,0.0,LOW
TX-000033,,False,0.0,LOW
TX-000034,,False,0.0,LOW
TX-000035,,False,0.0,LOW
TX-000036,,False,0.0,LOW
TX-000037,R21,True,40.0,MEDIUM
TX-000038,,False,0.0,LOW
TX-000039,,False,0.0,LOW
TX-000040,R21,True,40.0,MEDIUM
TX-000041,,False,0.0,LOW
TX-000042,,False,0.0,LOW
TX-000043,,False,0.0,LOW
TX-000044,,False,0.0,LOW
TX-000045,,False,0.0,LOW
TX-000046,,False,0.0,LOW
TX-000047,,False,0.0,LOW
TX-000048,,False,0.0,LOW
TX-000049,,False,0.0,LOW
TX-000050,,False,0.0,LOW
TX-000051,,False,0.0,LOW
TX-000052,R21,True,40.0,MEDIUM
TX-000053,,False,0.0,LOW
TX-000054,,False,0.0,LOW
TX-000055,,False,0.0,LOW
TX-000056,R21,True,40.0,MEDIUM
TX-000057,R21,True,40.0,MEDIUM
TX-000058,,False,0.0,LOW
TX-000059,,False,0.0,LOW
TX-000060,,False,0.0,LOW
TX-000061,,False,0.0,LOW
TX-000062,,False,0.0,LOW
TX-000063,,False,0.0,LOW
TX-000064,,False,0.0,LOW
TX-000065,,False,0.0,LOW
TX-000066,R21,True,40.0,MEDIUM
TX-000067,R21,True,40.0,MEDIUM
TX-000068,,False,0.0,LOW
TX-000069,R21,True,40.0,MEDIUM
TX-000070,R21,True,40.0,MEDIUM
TX-000071,,False,0.0,LOW
TX-000072,,False,0.0,LOW
TX-000073,,False,0.0,LOW
TX-000074,,False,0.0,LOW
TX-000075,,False,0.0,LOW
TX-000076,,False,0.0,LOW
TX-000077,,False,0.0,LOW
TX-000078,R21,True,40.0,MEDIUM
TX-000079,,False,0.0,LOW
TX-000080,,False,0.0,LOW
TX-000081,R21,True,40.0,MEDIUM
TX-000082,,False,0.0,LOW
TX-000083,,False,0.0,LOW
TX-000084,,False,0.0,LOW
TX-000085,,False,0.0,LOW
TX-000086,,False,0.0,LOW
TX-000087,,False,0.0,LOW
TX-000088,,False,0.0,LOW
TX-000089,,False,0.0,LOW
TX-000090,R13,False,5.0,LOW
TX-000091,,False,0.0,LOW
TX-000092,,False,0.0,LOW
TX-000093,,False,0.0,LOW
TX-000094,,False,0.0,LOW
TX-000095,,False,0.0,LOW
TX-000096,,False,0.0,LOW
TX-000097,,False,0.0,LOW
TX-000098,,False,0.0,LOW
TX-000099,,False,0.0,LOW
TX-000100,R21,True,40.0,MEDIUM
TX-000101,,False,0.0,LOW
TX-000102,R21,True,40.0,MEDIUM
TX-000103,,False,0.0,LOW
TX-000104,,False,0.0,LOW
TX-000105,,False,0.0,LOW
TX-000106,,False,0.0,LOW
TX-000107,,False,0.0,LOW
TX-000108,,False,0.0,LOW
TX-000109,,False,0.0,LOW
TX-000110,,False,0.0,LOW
TX-000111,,False,0.0,LOW
TX-000112,R13,False,5.0,LOW
TX-000113,,False,0.0,LOW
TX-000114,,False,0.0,LOW
TX-000115,,False,0.0,LOW
TX-000116,,False,0.0,LOW
TX-000117,,False,0.0,LOW
TX-000118,,False,0.0,LOW
TX-000119,,False,0.0,LOW
TX-000120,,False,0.0,LOW
TX-000121,,False,0.0,LOW
TX-000122,,False,0.0,LOW
TX-000123,,False,0.0,LOW
TX-000124,,False,0.0,LOW
TX-000125,R13,False,5.0,LOW
TX-000126,,False,0.0,LOW
TX-000127,R21,True,40.0,MEDIUM
TX-000128,R13,False,5.0,LOW
TX-000129,R21,True,40.0,MEDIUM
TX-000130,,False,0.0,LOW
TX-000131,R13;R21,True,45.0,MEDIUM
TX-000132,,False,0.0,LOW
TX-000133,,False,0.0,LOW
TX-000134,,False,0.0,LOW
TX-000135,,False,0.0,LOW
TX-000136,,False,0.0,LOW
TX-000137,,False,0.0,LOW
TX-000138,,False,0.0,LOW
TX-000139,,False,0.0,LOW
TX-000140,,False,0.0,LOW
TX-000141,,False,0.0,LOW
TX-000142,,False,0.0,LOW
TX-000143,R21,True,40.0,MEDIUM
TX-000144,,False,0.0,LOW
TX-000145,,False,0.0,LOW
TX-000146,,False,0.0,LOW
TX-000147,,False,0.0,LOW
TX-000148,,False,0.0,LOW
TX-000149,R21,True,40.0,MEDIUM
TX-000150,,False,0.0,LOW
TX-000151,,False,0.0,LOW
TX-000152,,False,0.0,LOW
TX-000153,,False,0.0,LOW
TX-000154,,False,0.0,LOW
TX-000155,,False,0.0,LOW
TX-000156,,False,0.0,LOW
TX-000157,R21,True,40.0,MEDIUM
TX-000158,,False,0.0,LOW
TX-000159,,False,0.0,LOW
TX-000160,,False,0.0,LOW
TX-000161,,False,0.0,LOW
TX-000162,,False,0.0,LOW
TX-000163,,False,0.0,LOW
TX-000164,,False,0.0,LOW
TX-000165,,False,0.0,LOW
TX-000166,R21,True,40.0,MEDIUM
TX-000167,,False,0.0,LOW
TX-000168,,False,0.0,LOW
